symbol,Revenue,Revenue Growth,Preferred Dividends,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,EBITDA,EBIT,Total assets,Retained earnings (deficit),Total shareholders equity,Other Assets,Other Liabilities,Investment purchases and sales,Issuance (buybacks) of shares,priceToSalesRatio,priceEarningsRatio,priceToOperatingCashFlowsRatio,priceFairValue,netProfitMargin,returnOnEquity,nIperEBT,eBTperEBIT,fixedAssetTurnover,currentRatio,debtRatio,totalDebtToCapitalization,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,capitalExpenditureCoverageRatios,dividendPayoutRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Market Cap,PE ratio,POCF ratio,PFCF ratio,PTB ratio,Enterprise Value over EBITDA,EV to Free cash flow,Earnings Yield,Net Debt to EBITDA,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,R&D to Revenue,Receivables Turnover,Gross Profit Growth,EPS Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,10Y Net Income Growth (per Share),3Y Shareholders Equity Growth (per Share),Receivables growth,sector_code,buy_ignore
AA,-0.03294260742085285,-0.31394852300875437,-0.08503958448906312,-0.030123191655630117,-0.5824826417814353,0.01897093100700784,-0.021044564854643292,-0.03030129166202927,-0.3988803956139404,-0.07789969937597792,0.12228645352906518,0.04579007478717153,0.044912546153322186,0.04403380195736677,-0.2227805242721965,-0.04309854316656206,-0.021965835354648758,-0.03506767104760916,0.03926454404245565,-0.029754629074335348,-0.023480528134640685,0.007861866835274338,0.023695270847773273,0.028369366725521462,0.022970057197735025,-0.08745673838250724,-0.04366110941545349,-0.02104456610405195,0.011535804949076064,-0.009892648473999736,0.02525018111669387,-0.05229636272216194,-0.04666223704313999,-0.06271757068665089,-0.03691718764254677,-0.034027057966063874,-0.047249664516086504,-0.03333755785712751,0.020035081939688403,-0.04841889467132514,-0.02524371617827458,-0.09769127650309099,-0.05278061330807116,-0.10059967746189111,-0.5577259709192653,-0.024362108820437305,-0.0289972775436782,-0.10991529651460641,-0.021391253323925233,0.019043920368599202,0.055800904267676095,-0.03441274847175552,-0.0037073522793349715,-0.07577738130047264,0.2763988836620542,0.030126737271741585,-0.03986155213260892,-0.07247058282558098,0.008582341075094178,-0.0031703782611929754,0,1
AAL,0.015440265929171224,-0.11623559058303506,-0.08503958448906312,-0.030210326119482357,-0.42908689580601134,0.01990552895206661,-0.021044542152274023,-0.010758474934712716,0.7466334280973113,-0.021009525036590336,0.12228645352906518,-0.09108805102639168,0.035901167238573964,0.027640016984017027,-0.08848682021872113,-0.037952972234483705,-0.021965594662740867,-0.03506750289253251,0.03926453519480141,-0.029754629053044483,-0.023480496395444493,0.007861669236947331,0.023695161070227577,0.028369330560386683,0.022970288592116785,-0.04732789026681657,-0.04366110996367286,-0.02104449376922437,0.011467899467699157,-0.009966138209588943,0.02533986032596518,-0.05225337547730157,-0.04665595958283024,-0.0627173352817202,-0.03691801186144741,-0.03403749009141063,-0.04748577421496856,-0.025914993093552625,-20.993260511149828,-0.008843757789029578,-0.026032760553426675,-0.015485440053075762,-0.035588984146485585,-0.10564855549769718,-0.3142069201270656,-0.024362108820437305,-0.02169947853636371,-0.030568764273208076,-0.02139125543939873,-0.17574354100071957,-0.7327428426455694,-0.03441274846937203,-0.0031600556727272157,-2.6585410081025835,0.004836107424999518,0.02507918954700536,-0.039861549618760705,0.45832969443334476,-13.738326161914074,-0.00011193047110048955,1,0
AAN,-0.04478470146284437,-0.14786965977115016,-0.08503958448906312,-0.030220863310459836,0.7673999228022949,0.04887806524888842,-0.021044550407681033,-0.03240821061691545,-0.22102850142121036,-0.09257914217348803,0.11612456013642128,0.05173002959722306,0.04690171539654711,0.043792653025213964,-0.06668420903363434,-0.044538026843376884,-0.0219655978719663,-0.03506752039159739,0.03926454404245565,-0.029754629060584997,-0.023480764591652343,0.007861707038366412,0.023695141762619033,0.028369551460939668,0.02296982580335326,-0.0798647941444036,-0.043661105303808186,-0.02104449376922437,0.011471699531133875,-0.009880727679100238,0.02515846561345057,-0.05229086788585099,-0.04658044791518709,-0.0627089784066811,-0.03690639552631652,-0.03402452286625226,-0.04724605944386385,-0.0276380884850968,-0.030489496955260577,-0.055636244862625236,-0.023080207407696254,0.20850398191177416,-0.005894351958292307,-0.05515977513963649,0.28106187069831157,-0.02407086143211614,-0.023689787356540395,-0.04499540649891687,-0.02139125269270312,0.025260265231767852,0.14742429356851366,-0.03441274844435466,-0.002065462459511703,-0.022353597293866916,-0.05634012238664467,0.027797099860324866,-0.03986155053288733,-0.24498067293473183,-0.03598858436282848,0.005170842984513805,1,0
AAON,-0.04658547818816046,-0.0766930040978912,-0.08503958448906312,-0.03021356833209081,-0.36772859741584185,0.021774724842184148,-0.021044527705311764,-0.03538366877652822,-0.23373706657419077,-0.09407873161271532,0.12228645352906518,0.0613538819862772,0.04710042772449199,0.04406123597477376,-0.06560985940120653,-0.04471598562686895,-0.021965552942810163,-0.03506750097857228,0.03926454404245565,-0.029754629060806774,-0.023480497188924396,0.007861774049972962,0.023695174309730574,0.028369597400435195,0.02297024462718425,-0.03648225564095423,-0.04366110379620491,-0.02104449376922437,0.01146591682590713,-0.009947012538651288,0.025104699225139738,-0.05229557672632802,-0.04662646527708471,-0.06264965636415001,-0.03688497871332022,-0.03401600154686247,-0.04722916066782019,-0.027505542685747245,-0.05595717086978771,-0.06044781165682531,-0.023572299598651324,-0.028088425432172166,-0.004331476579966344,-0.0871360026997416,-0.5577259709192653,-0.023488366655473814,-0.012411370708872542,0.055991089081044665,-0.021391252445735025,0.004345506943980607,0.14566748187022707,-0.03441274843069757,0.0006710205735270773,0.008963793330695058,0.01229662325568784,0.030126737271741585,-0.03986154801903912,-0.5767308462215603,-0.05263555651434176,0.005448883692704031,1,1
AAP,-0.03393394901295126,-0.1320526251770926,-0.08503958448906312,-0.030216810544699265,0.21517523729076893,0.01616713717183154,-0.021044542152274023,-0.03187570827866696,-0.03420608618593193,-0.07128799442697223,0.12228645352906518,-0.007909923739492734,0.0449382400061039,0.04406123597477376,-0.36152915280359765,-0.043482212266255246,-0.021965581825839114,-0.03506750398622406,0.03926453519480141,-0.02975462906923441,-0.023480516232442114,0.007861783929889312,0.02369517872289824,0.028369688301990183,0.022970057197735025,-0.03973594602871293,-0.04366110571497271,-0.02104449376922437,0.011554640046100318,-0.009801932534792024,0.025366105892715228,-0.05226405081486749,-0.04664747687998679,-0.06270850759681974,-0.03690745155678297,-0.03402227074075794,-0.047244820200287314,-0.027107905287698592,0.02167815767610951,-0.05262901561625019,-0.025337044007593644,-0.029234151375726387,-0.04652911179476732,-0.04506201906802435,-0.17891855857584354,-0.024362108820437305,-0.019709169716187032,-0.016142122047499284,-0.021391254022324627,0.023456915455064273,0.11003058038284305,-0.034412748468449585,-0.0037073522793349715,-0.00024720391182316795,0.0063282105911371825,0.028961918566033223,-0.039861549618760705,0.03368947262620425,-0.0018891414073093403,-0.002058215428432072,2,0
AAPL,0.309018257820646,-0.1557781770681789,-0.08503958448906312,-0.03010333310340333,0.031100342120260267,0.03485909607300689,-0.021044505002942495,0.2816452151730266,20.650058743594126,5.28933268595562,0.12228645352906518,-1.1620725339148503,0.2802948402397371,0.009553161222121489,13.684834126734128,-0.006360750173523591,-0.021965652428798763,-0.03506751000152762,0.03926452855906073,-0.029754629049939564,-0.023480508826629668,0.007862244419903549,0.023695196927214862,0.02836970785071169,0.022970212231970804,-0.058173524892678914,-0.043661107496685676,-0.02104441587017928,0.0115011087177156,-0.009949206750899272,0.025127880066618813,-0.047179386378998274,-0.04664716463325636,-0.06266848875860433,-0.03690081917031689,-0.0340238781515706,-0.0472224687525069,-0.027107905287698592,0.045091986920110266,-0.04769715965219513,-0.02510796660835594,-0.04412858864193124,-0.012145853471596153,-0.09386784008081635,-0.5847836432295097,-0.02377961404379498,-0.00843075306851918,0.06320441019389907,-0.021391252608181893,1.0065980530009457,-1.2951536166476447,-0.03441274846625182,0.00614398663960464,0.08633617016784817,0.01826503592023848,0.030709146624595764,-0.03986154550519091,0.10003950728356988,0.01341533299004965,0.004058680151752901,3,1
AAT,-0.04672595351694851,-0.05296745220680489,-0.08503958448906312,-0.030180335652854145,0.8287582211924645,0.06102783853465239,-0.021044492619831986,-0.03480364959387183,-0.2184742312307997,-0.10058732312073088,-0.16228098678576247,0.0613538819862772,0.04424655194477378,0.043497811801850327,-0.03448431862628079,-0.0444416123829367,-0.02196548233985052,-0.03506747199574606,0.03926457722115905,-0.029754629067238393,-0.023480519406361734,0.007861875856067527,0.023695183136065907,0.028369945367677948,0.02297009190689229,-0.019129240239574487,-0.043661100506888664,-0.02104449376922437,0.011487891105768758,-0.00988573834289041,0.025194933787312503,-0.052296931096733064,-0.04662479996118907,-0.06263953395213082,-0.03690103810346237,-0.034018335355664876,-0.047246780458308386,-0.027505542685747245,-0.02063104253673395,0.014973497842260763,-0.024963732690317382,0.016022023394665276,0.22228545327729815,-0.09386784008081635,-0.5577259709192653,-0.02407086143211614,-0.023689787356540395,-0.03778208538606247,-0.021391253088194066,0.0029214403030845735,0.12064830876223537,-0.03441274837664495,0.009427766279251177,-0.020511397845363273,0.004836107424999518,0.021196460527977495,-0.039861544134000976,-0.15209062441441976,-0.030081594244549568,0.0457647863802868,4,0
AAWW,-0.04347745058462877,-0.12414410788006384,-0.08503958448906312,-0.030226537182524632,-0.4597660450010962,0.024578518677360446,-0.021044591684716066,-0.03358458445345018,-0.40639212785615314,-0.08217624045014657,0.12228645352906518,0.060051802758994875,0.04583774315729108,0.04271040847252553,-0.026479393912510977,-0.044147230463251703,-0.0219657390778856,-0.03506756495952828,0.03926454625436921,-0.02975462905881076,-0.023480520993321544,0.007861545523212162,0.023694743474237154,0.028369495747083383,0.022970057197735025,-0.0419050729538854,-0.043661108181959896,-0.02104449376922437,0.0115234134378759,-0.009738005634671644,0.02551294531358402,-0.052305536531627776,-0.0466620158683726,-0.0627179237940469,-0.036919608785567395,-0.034033225055824234,-0.047250362998829634,-0.034265378452574366,0.015105854730425082,-0.014737927111924664,-0.02592246402786778,-0.10943496742452175,-0.05278061330807116,-0.09386784008081635,-0.5577259709192653,-0.02407086143211614,-0.03364133145742379,-0.09548865428889763,-0.02139125555592077,-0.006177660468680228,0.09386806813002922,-0.03441274847067831,-0.0037073522793349715,-0.055513187366932545,-0.014561233734790104,0.030709146624595764,-0.039861555103520435,0.0204194656947311,-0.006185134220603094,-0.0031703782611929754,1,1
ABBV,-0.0016782478000491236,-0.12414410788006384,-0.08503958448906312,-0.030052673531396214,1.2582663099236513,0.04981266319394719,-0.02104447610901797,0.026563740874674207,3.989912361459628,0.2776638902451945,-0.5135089101664652,-0.2599275666238326,0.050314296668979706,0.023544510099687485,18.401546331549017,-0.03464993402043465,-0.021965289786324206,-0.03506749742407473,0.03926454404245565,-0.029754629051935585,-0.02348044243881096,0.007861768036110835,0.023695196927214862,0.0283692748465304,0.022970420486914393,-0.04949701719198904,-0.04366110667435662,-0.021044699645272103,0.011903585001496986,-0.009983364413207447,0.025166487377582637,-0.051768821926941905,-0.04665072294495526,-0.0626776695509008,-0.03691046510713843,-0.03402681291613962,-0.04728445346303505,-0.02684281368899949,-0.5562737326100142,-0.03434506179828994,-0.02371653351668988,-0.031812034748723385,0.07381229233633176,-0.07030640924705471,0.443407904559778,-0.02407086143211614,-0.01440167952904922,0.048777767968190285,-0.021391253326612326,0.5990256977315266,-0.6628425906008096,-0.03441274846809052,0.013806139132113225,-0.20288914324722418,0.03318606758161511,0.023331961488442823,-0.03986154230574773,0.5777597568166031,-0.37966800942632845,0.01935091910221533,5,1
ABC,0.19867644390854713,-0.08460152139491997,-0.08503958448906312,-0.030161692930355522,-1.0426698797077067,0.008690353611361393,-0.021044554535384535,-0.0254060276819539,0.10795894843059695,-0.05223334165917359,0.08643543742640973,-0.032311194176404864,0.04538046771490783,0.0390441538202725,0.40884073077809796,-0.040314896368821206,-0.02196555936126104,-0.03506752121186606,0.03926453519480141,-0.029754629055705844,-0.023480503536763637,0.007861785648135633,0.023695151140600324,0.028369478153234033,0.022970221487746075,-0.040820509491299166,-0.043661105989082405,-0.02104449376922437,0.011722668937974565,-0.009920387246746643,0.02538546096976209,-0.0522277213020181,-0.046646982489330274,-0.06271933622363098,-0.03691224232914293,-0.0340269879517998,-0.047236979168203054,-0.027107905287698592,0.44887784914559686,-0.05383190731480021,-0.025608543147430926,-0.0017367287304251157,0.009734401824967317,-0.1039655961524285,0.03754281990611182,-0.024362108820437305,-0.01838229716940258,-0.030568764273208076,-0.021391254551681563,-0.02346450228846391,0.007978255869467071,-0.03441274846890771,-0.006991131918981508,0.02922798726423516,0.024233448584789142,0.02760296340937347,-0.03986155098995064,0.3521696389815597,0.2784243896601078,0.007951250066416065,5,1
