symbol,Revenue,Revenue Growth,Preferred Dividends,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,EBITDA,EBIT,Total assets,Retained earnings (deficit),Total shareholders equity,Other Assets,Other Liabilities,Investment purchases and sales,Issuance (buybacks) of shares,priceToSalesRatio,priceEarningsRatio,priceToOperatingCashFlowsRatio,priceFairValue,netProfitMargin,returnOnEquity,nIperEBT,eBTperEBIT,fixedAssetTurnover,currentRatio,debtRatio,totalDebtToCapitalization,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,capitalExpenditureCoverageRatios,dividendPayoutRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Market Cap,PE ratio,POCF ratio,PFCF ratio,PTB ratio,Enterprise Value over EBITDA,EV to Free cash flow,Earnings Yield,Net Debt to EBITDA,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,R&D to Revenue,Receivables Turnover,Gross Profit Growth,EPS Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,10Y Net Income Growth (per Share),3Y Shareholders Equity Growth (per Share),Receivables growth,sector
ALSN,2081000000.0,-0.228687916976,,,0.479577126381547,0.327727054300817,,682000000.0,,,-225000000.0,4477000000.0,-974000000.0,756000000.0,56000000.0,0.0,-0.284074605452,-0.504966887335,-0.0794945499691,0.151387924,-0.337662337662,3.64976979421,0.444889375487,-0.098814229249,17.05455298295605,2.450413907690466,4.597599338509537,4.597599338509537,4.966222343420202E9,16.60943927565285,8.852446244955797,8.852446244955797,6.569077173836246,10.512056222023757,12.779362465989665,0.060206728439403875,3.230205278592375,0.0,1.8762541806020068,0.015706103071148836,0.2608695652173913,0.15233061028351755,9.12719298245614,2.3864595595483915,16.60943927565285,8.852446244955797,6.569077173836246,0.14368092263334936,0.3955026455026455,0.7608142493638677,,3.261755485893417,2.026809651474531,0.831136922046013,0.7687366167023555,2.5405629143279076,0.2608695652173913,0.2695819317635752,,0.2608695652173913,Consumer Cyclical
AMBC,156000000.0,-0.686116700201,,,0.0,-2.43589743589744,,-380000000.0,,,0.0,13220000000.0,759000000.0,1080000000.0,13220000000.0,12080000000.0,0,-1.01918976546,0.00415222243509,0,-0.43729903537,-4.70180050745,-0.318778464861,0.0310233682514,3.380496899239219,-9.469725288253453,-3.7922240856850213,-3.7922240856850213,6.6544063404E8,-1.5227474463157895,-3.8025179088,-3.8025179087999996,0.6161487352222222,,-45.01394648022857,-0.656707717632001,,0.0,0.40045766590389015,,0.0,0.3269230769230769,0.06096131301289566,4.2656450900000005,-1.5227474463157895,-3.8025179088,0.6161487352222222,-2.801282051282051,-0.4046296296296296,0.9931818181818182,,,,0.913767019667171,,61.30401107658815,0.0,-1.1217948717948718,,,Financial Services
AT,272000000.0,-0.0340909090909,,,0.410294117647059,0.319117647058824,,86800000.0,,,-48000000.0,847200000.0,-1090000000.0,-10200000.0,109000.0,0.0,-0.156462585034,2.97435897436,-0.998865507777,1056.24039829,-0.258465791292,-12725.1358995,670.636155606,-0.259656652361,2.8392484342379958,0.767223382045929,1.1200417536534446,0.8611691022964509,2.83568E8,3.8580680272108845,2.6427586206896554,3.4371878787878787,-27.80078431372549,9.316451612903226,9.802036363636363,0.25919708852903006,6.049539170506913,0.0,1.4598639455782314,0.023980138802685777,0.09251700680272108,0.09117647058823529,7.884057971014493,1.042529411764706,3.8580680272108845,2.6427586206896554,-27.80078431372549,0.2702205882352941,-7.205882352941177,1.4908722109533468,,0.547945205479452,0.7772096420745069,0.812795089707271,1.0184215279031967,0.40501043841336115,0.09251700680272108,0.39448529411764705,-4.326612903225806,0.0925170068027211,Utilities
ATO,2821137000.0,-0.0278136552983,,,0.766457991937293,0.444475755697082,,1253927000.0,,,0.0,15359032000.0,2471014000.0,6791203000.0,0.0,0.0,0.058380498196,0.12344563151,0.0460663539388,0.097157143808,0.0714618242326,1.18574504693,0.505185895835,0.000104089412806,22.975673518584877,4.898222953383066,8.453586669707137,-7.310787699123693,1.1255975714424002E10,18.71495006912376,10.843917686263667,-12.539004245874631,1.6574347305512735,12.567434718627162,-17.55491754208251,0.053433217631171606,3.590854970026166,0.0,1.7258476696877343,0.02509280467246046,0.4696105865393728,0.0,12.234163793664216,3.989872067334554,18.71495006912376,10.843917686263667,1.6574347305512735,0.2131917024944198,0.08856207066700848,0.8053645172175534,,0.20770391709386488,0.6023228497918587,0.5578365225100124,0.3997883811306744,0.16946281395576115,0.4696105865393728,0.36793640294675517,-0.5362462519553892,0.4696105865393729,Utilities
AVAL,22604300000000.0,,,,0.0,0.0,,0.0,,,-430324000000.0,322895900000000.0,11302134000000.0,20657300000000.0,0.0,66519651000000.0,0,-0.22577092511,-5.21789463942e-06,0.0499857458195,0.778301449833,0.536687875156,0.26833749994,0.264734162921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial Services
AVB,2301261000.0,-0.0100510791844,,,0.642325664059835,0.616103953441179,,1417816000.0,,,-183876000.0,19199144000.0,126022000.0,10751583000.0,18714949000.0,0.0,-0.0503437154678,0.0525232461005,0.000435747829697,0.0505218686428,-0.0773102517469,1.83558700298,0.0224658829515,0,16.505947266101373,5.936231108007079,8.74776953806901,7.764869732459186,2.2818889288529778E10,27.571365572211953,18.70991197101526,21.078267071991768,2.1223748436420737,22.689359048374243,29.715463064154928,0.03626951292568036,6.594965073041918,0.0,1.4736234790908982,0.03870530194666216,1.0671580295542695,0.02622171061865647,126.72839914092185,9.915819756442133,27.571365572211953,18.70991197101526,2.1223748436420737,0.35964195282499467,0.07697750182461503,1.0038461585112177,,14.821409709788362,0.8591687170939493,0.439965969316132,0.4708607793117439,1.5562747615370927,1.0671580295542695,0.5299768257490133,-8.89996059429639,1.0671580295542695,Real Estate
BHVN,63627000.0,1,,,0.721910509689283,-9.99482923915948,,-635941000.0,,,0.0,686975000.0,-1739169000.0,-390370000.0,0.0,0.0,0,-0.197066911091,-0.999426169043,0,0.862765052434,35846.7752735,-2961.18572544,39.3327736736,1.0833370294751203,-13.055754645879963,-11.967479968259436,-12.741669144713358,5.005176465032414E9,-6.527389899050614,-7.120964582854822,-6.68829177968089,-12.821621705132092,-8.08990372539656,-6.874735537873926,-0.15320059249799778,-0.2193992838958331,0.0,0.9166440617843599,,0.0,7.266144875603125,0.5297349951295052,78.664347918846,-6.527389899050614,-7.120964582854822,-12.821621705132092,-12.051424709635846,1.964280042011425,1.0110866733123414,,6.812312633832977,2.180250036132389,1.5708926816841953,-2.2888218642582734,6.050049193447945,0.0,-11.046866896129002,15.458082252034309,,Healthcare
BPMC,793735000.0,10.93371121,,,0.999464556810522,0.397193017820809,,315266000.0,,,0.0,1718393000.0,-631356000.0,1470088000.0,569292000.0,0.0,0,1.79229711142,0.153463379958,0,-2.3921371149,-4.55945142333,0.613971562785,0.081026823851,14.554864854952873,5.755712032860234,7.09713206440019,7.039204899695603,5.2761645E9,16.809388560032115,13.632267107625927,13.744450030739094,3.589012698559542,14.568797459922733,11.964922266565244,0.0594905636471342,-2.1667988301941854,,1.2330589202311697,,-0.0,0.1987350942065047,31.361768540835275,6.647261995502277,16.809388560032115,13.632267107625927,3.589012698559542,0.3954493628226045,0.2135123883740293,1.0033820934455158,,7.807127119644332,7.092850262228406,0.14449837726294276,,15.987255657021308,-0.0,0.4876123643281448,-122.5182019626464,,Healthcare
CHSCP,28406365000.0,-0.109530983776,,,0.0345629227815667,0.0329901062666765,,937129000.0,,,0.0,15993947000.0,0.0,0.0,4769462000.0,12504653000.0,-0.290772523663,-0.489553934659,0.0,-0.0,-1.0,-0.208794595412,-1.0,-1.0,2311.339707078926,34.467778681855165,0.0,-34.04060211554109,3.523543E8,0.831791345320803,,-0.8422295205792154,,2.1088433929587067,-4.723833597460554,1.202224579067149,1.7328500131785485,-0.0,0.0,0.47868863811226364,0.3981690662851828,0.024802258226281328,,0.01240406155451428,0.831791345320803,,,0.014912467681098936,,1.0949420747625866,,5.729471606946275,1.8989496082887096,1.0,,306.8272579332791,0.3981690662851828,0.0,-0.0,0.3981690662851828,Consumer Defensive
COOP,2733000000.0,0.361733931241,,,0.609220636663008,0.357116721551409,,976000000.0,,,-58000000.0,24165000000.0,1434000000.0,2503000000.0,22414000000.0,0.0,0.585714285714,0.120521656102,0.0277391908317,0,-0.52849002849,47.7597240283,-0.215659726316,-0.250825556353,30.021420332839018,3.350359751743835,3.6359641895974075,1.5818091942659416,2.47888305E9,8.127485409836066,7.489072658610272,17.214465625,0.9903647822612865,15.41483919057377,104.47835451388889,0.12303928577832665,12.875,0.0,1.0852459016393443,,-0.0,0.2791803878521771,0.5237638942123419,0.9070190450054885,8.127485409836066,7.489072658610272,0.9903647822612865,0.11159897548481522,0.12185377546943668,0.7644110275689223,,23.560344827586206,0.9061109148710703,0.8963790606248707,0.8412205024105557,7.634426319547427,-0.0,0.12111233077204538,-1.7700534759358288,,Financial Services
